Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-1) 	西元2026年06月08日 	_x86_64_	(4 CPU)

22時26分59秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
22時27分16秒 veth31d8334d   7288.00   7627.00   5158.47   5114.03      0.00      0.00      0.00      0.42
22時27分16秒 veth8017ce2c   8666.00   8731.00   3432.58   2405.76      0.00      0.00      0.00      0.28

22時27分16秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
22時27分17秒        lo     11.00     11.00      1.54      1.54      0.00      0.00      0.00      0.00
22時27分17秒     ens33  22125.00  19817.00   7550.45   8801.77      0.00      0.00      0.00      0.72
22時27分17秒      cni0  12635.00  13107.00   7013.06   5819.09      0.00      0.00      0.00      0.00
22時27分17秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22時27分17秒 veth854270a4     11.00     12.00      3.34      1.31      0.00      0.00      0.00      0.00
22時27分17秒 veth0c9b2fa5     28.00     30.00      5.77      3.76      0.00      0.00      0.00      0.00
22時27分17秒 veth8c54fcdc     85.00     97.00      9.77     11.33      0.00      0.00      0.00      0.00
22時27分17秒 veth31d8334d   7176.00   7590.00   5391.56   5021.86      0.00      0.00      0.00      0.44
22時27分17秒 veth8017ce2c   8012.00   8054.00   3272.97   2278.29      0.00      0.00      0.00      0.27

22時27分17秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
22時27分18秒        lo     31.00     31.00      5.57      5.57      0.00      0.00      0.00      0.00
22時27分18秒     ens33  24317.00  21997.00   8095.47   8949.21      0.00      0.00      0.00      0.73
22時27分18秒      cni0  14523.00  14888.00   7061.37   6282.30      0.00      0.00      0.00      0.00
22時27分18秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22時27分18秒 veth854270a4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22時27分18秒 veth0c9b2fa5      6.00      6.00      1.34      0.81      0.00      0.00      0.00      0.00
22時27分18秒 veth8c54fcdc     56.00     60.00     10.50     10.37      0.00      0.00      0.00      0.00
22時27分18秒 veth31d8334d   8031.00   8296.00   5061.79   5195.29      0.00      0.00      0.00      0.43
22時27分18秒 veth8017ce2c   9432.00   9528.00   3693.24   2582.77      0.00      0.00      0.00      0.30

22時27分18秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
22時27分19秒        lo     31.00     31.00      5.24      5.24      0.00      0.00      0.00      0.00
22時27分19秒     ens33  22797.00  21054.00   7482.44   8425.69      0.00      0.00      0.00      0.69
22時27分19秒      cni0  13760.00  13782.00   6594.81   5732.43      0.00      0.00      0.00      0.00
22時27分19秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22時27分19秒 veth854270a4     22.00     24.00      6.67      2.63      0.00      0.00      0.00      0.00
22時27分19秒 veth0c9b2fa5     16.00     16.00      2.27      1.68      0.00      0.00      0.00      0.00
22時27分19秒 veth8c54fcdc     44.00     46.00      5.31      9.27      0.00      0.00      0.00      0.00
22時27分19秒 veth31d8334d   7927.00   7882.00   4891.31   4894.29      0.00      0.00      0.00      0.40
22時27分19秒 veth8017ce2c   8768.00   8831.00   3496.94   2444.13      0.00      0.00      0.00      0.29

22時27分19秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
22時27分20秒        lo     14.00     14.00      1.53      1.53      0.00      0.00      0.00      0.00
22時27分20秒     ens33  21097.00  18563.00   7258.39   8123.52      0.00      0.00      0.00      0.67
22時27分20秒      cni0  11806.00  12429.00   6442.49   5619.24      0.00      0.00      0.00      0.00
22時27分20秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22時27分20秒 veth854270a4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22時27分20秒 veth0c9b2fa5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22時27分20秒 veth8c54fcdc     54.00     65.00      6.60      5.94      0.00      0.00      0.00      0.00
22時27分20秒 veth31d8334d   6595.00   7159.00   4877.36   4883.94      0.00      0.00      0.00      0.40
22時27分20秒 veth8017ce2c   7651.00   7700.00   3262.02   2271.63      0.00      0.00      0.00      0.27

22時27分20秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
22時27分21秒        lo     15.84     15.84      7.02      7.02      0.00      0.00      0.00      0.00
22時27分21秒     ens33  23574.26  20992.08   7887.71   9042.73      0.00      0.00      0.00      0.74
22時27分21秒      cni0  13485.15  14180.20   7191.08   6100.88      0.00      0.00      0.00      0.00
22時27分21秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22時27分21秒 veth854270a4     10.89     11.88      3.30      1.30      0.00      0.00      0.00      0.00
22時27分21秒 veth0c9b2fa5     28.71     28.71      5.78      3.65      0.00      0.00      0.00      0.00
22時27分21秒 veth8c54fcdc    105.94    112.87     16.20     17.33      0.00      0.00      0.00      0.00
22時27分21秒 veth31d8334d   7678.22   8268.32   5427.38   5194.61      0.00      0.00      0.00      0.44
22時27分21秒 veth8017ce2c   8667.33   8761.39   3529.61   2489.64      0.00      0.00      0.00      0.29

22時27分21秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
22時27分22秒        lo      4.00      4.00      0.45      0.45      0.00      0.00      0.00      0.00
22時27分22秒     ens33  20639.00  18751.00   6888.03   8303.02      0.00      0.00      0.00      0.68
22時27分22秒      cni0  11620.00  11932.00   6511.69   5156.23      0.00      0.00      0.00      0.00
22時27分22秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22時27分22秒 veth854270a4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22時27分22秒 veth0c9b2fa5      6.00      6.00      1.34      0.81      0.00      0.00      0.00      0.00
22時27分22秒 veth8c54fcdc     62.00     71.00      8.07     11.39      0.00      0.00      0.00      0.00
22時27分22秒 veth31d8334d   6856.00   7122.00   5076.69   4423.13      0.00      0.00      0.00      0.42
22時27分22秒 veth8017ce2c   6981.00   7018.00   2869.08   2003.56      0.00      0.00      0.00      0.24

22時27分22秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
22時27分23秒        lo     21.00     21.00      2.68      2.68      0.00      0.00      0.00      0.00
22時27分23秒     ens33  23086.00  20582.00   8169.20   8316.24      0.00      0.00      0.00      0.68
22時27分23秒      cni0  13155.00  13514.00   6452.32   6353.88      0.00      0.00      0.00      0.00
22時27分23秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22時27分23秒 veth854270a4     10.00     13.00      3.27      1.38      0.00      0.00      0.00      0.00
22時27分23秒 veth0c9b2fa5     11.00     11.00      1.81      1.25      0.00      0.00      0.00      0.00
22時27分23秒 veth8c54fcdc     92.00     87.00      8.51     13.68      0.00      0.00      0.00      0.00
22時27分23秒 veth31d8334d   7189.00   7463.00   4468.70   5238.13      0.00      0.00      0.00      0.43
22時27分23秒 veth8017ce2c   8492.00   8582.00   3541.04   2493.73      0.00      0.00      0.00      0.29

22時27分23秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
22時27分24秒        lo     12.00     12.00      3.83      3.83      0.00      0.00      0.00      0.00
22時27分24秒     ens33  22886.00  20635.00   7676.88   8667.73      0.00      0.00      0.00      0.71
22時27分24秒      cni0  13186.00  13582.00   6788.45   5863.39      0.00      0.00      0.00      0.00
22時27分24秒 vethbdca3de6      1.00      1.00      0.06      0.18      0.00      0.00      0.00      0.00
22時27分24秒 veth854270a4      7.00      8.00      0.60      3.56      0.00      0.00      0.00      0.00
22時27分24秒 veth0c9b2fa5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22時27分24秒 veth8c54fcdc     55.00     62.00     10.69     10.43      0.00      0.00      0.00      0.00
22時27分24秒 veth31d8334d   7278.00   7638.00   5032.08   4950.46      0.00      0.00      0.00      0.41
22時27分24秒 veth8017ce2c   8766.00   8793.00   3464.02   2437.31      0.00      0.00      0.00      0.28

22時27分24秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
22時27分25秒        lo      2.00      2.00      0.57      0.57      0.00      0.00      0.00      0.00
22時27分25秒     ens33  20596.00  18381.00   7030.62   8226.19      0.00      0.00      0.00      0.67
22時27分25秒      cni0  11572.00  12004.00   6567.25   5415.77      0.00      0.00      0.00      0.00
22時27分25秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
22時27分25秒 veth854270a4     10.00     13.00      3.27      1.38      0.00      0.00      0.00      0.00
22時27分25秒 veth0c9b2fa5     29.00     29.00      5.84      3.69      0.00      0.00      0.00      0.00
22時27分25秒 veth8c54fcdc    128.00    144.00     15.30     16.09      0.00      0.00      0.00      0.00
22時27分25秒 veth31d8334d   6782.00   7157.00   5076.38   4677.67      0.00      0.00      0.00      0.42
22時27分25秒 veth8017ce2c   7015.00   7055.00   2985.90   2076.58      0.00      0.00      0.00      0.24

22時27分25秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
22時27分26秒        lo      4.00      4.00      0.59      0.59      0.00      0.00      0.00      0.00
22時27分26秒     ens33  22073.00  19637.00   7719.00   8192.84      0.00      0.00      0.00      0.67
22時27分26秒      cni0  12653.00  13088.00   6495.42   6070.18      0.00      0.00      0.00      0.00
22時27分26秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
