Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-1) 	西元2026年06月08日 	_x86_64_	(4 CPU)

19時24分14秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
19時24分29秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
19時24分30秒        lo     20.00     20.00      3.50      3.50      0.00      0.00      0.00      0.00
19時24分30秒     ens33  30950.00  26517.00  10877.64  11600.82      0.00      0.00      0.00      0.95
19時24分30秒      cni0  18461.00  19812.00   9563.22   8902.21      0.00      0.00      0.00      0.00
19時24分30秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19時24分30秒 veth854270a4     14.00     13.00      2.58      2.46      0.00      0.00      0.00      0.00
19時24分30秒 veth0c9b2fa5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19時24分30秒 vethba68c3a0   5501.00   5808.00    661.68    650.48      0.00      0.00      0.00      0.05
19時24分30秒 veth0a72e473   6318.00   7797.00   5996.10   6947.54      0.00      0.00      0.00      0.57
19時24分30秒 veth575532b7  14852.00  14419.00   5845.87   3992.40      0.00      0.00      0.00      0.48

19時24分30秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
19時24分31秒        lo     12.00     12.00      1.17      1.17      0.00      0.00      0.00      0.00
19時24分31秒     ens33  31442.00  26893.00  11264.65  11237.83      0.00      0.00      0.00      0.92
19時24分31秒      cni0  18070.00  19423.00   8979.62   9070.18      0.00      0.00      0.00      0.00
19時24分31秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19時24分31秒 veth854270a4     11.00     12.00      3.34      1.31      0.00      0.00      0.00      0.00
19時24分31秒 veth0c9b2fa5     11.00     11.00      1.81      1.25      0.00      0.00      0.00      0.00
19時24分31秒 vethba68c3a0   5695.00   6046.00    684.01    683.01      0.00      0.00      0.00      0.06
19時24分31秒 veth0a72e473   6296.00   7714.00   5358.98   6948.97      0.00      0.00      0.00      0.57
19時24分31秒 veth575532b7  13730.00  13312.00   5623.72   3880.43      0.00      0.00      0.00      0.46

19時24分31秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
19時24分32秒        lo     12.00     12.00      1.72      1.72      0.00      0.00      0.00      0.00
19時24分32秒     ens33  32072.00  27146.00  11553.47  12218.35      0.00      0.00      0.00      1.00
19時24分32秒      cni0  18289.00  19834.00   9984.30   9353.74      0.00      0.00      0.00      0.00
19時24分32秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19時24分32秒 veth854270a4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19時24分32秒 veth0c9b2fa5     12.00     12.00      2.69      1.63      0.00      0.00      0.00      0.00
19時24分32秒 vethba68c3a0   6060.00   6406.00    708.41    711.73      0.00      0.00      0.00      0.06
19時24分32秒 veth0a72e473   6242.00   7880.00   6330.67   7372.29      0.00      0.00      0.00      0.60
19時24分32秒 veth575532b7  15092.00  14653.00   6180.60   4256.19      0.00      0.00      0.00      0.51

19時24分32秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
19時24分33秒        lo     17.00     17.00      6.68      6.68      0.00      0.00      0.00      0.00
19時24分33秒     ens33  33409.00  28088.00  12279.55  12226.37      0.00      0.00      0.00      1.01
19時24分33秒      cni0  19107.00  20716.00   9942.62  10016.60      0.00      0.00      0.00      0.00
19時24分33秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19時24分33秒 veth854270a4     11.00     12.00      3.34      1.31      0.00      0.00      0.00      0.00
19時24分33秒 veth0c9b2fa5     23.00     23.00      4.50      2.88      0.00      0.00      0.00      0.00
19時24分33秒 vethba68c3a0   5936.00   6270.00    698.31    701.76      0.00      0.00      0.00      0.06
19時24分33秒 veth0a72e473   6566.00   8266.00   5966.10   7763.07      0.00      0.00      0.00      0.64
19時24分33秒 veth575532b7  15053.00  14631.00   6287.89   4306.97      0.00      0.00      0.00      0.52

19時24分33秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
19時24分34秒        lo     14.85     14.85      2.87      2.87      0.00      0.00      0.00      0.00
19時24分34秒     ens33  32129.70  27516.83  11360.94  12013.09      0.00      0.00      0.00      0.98
19時24分34秒      cni0  18700.00  20115.84   9771.48   9177.89      0.00      0.00      0.00      0.00
19時24分34秒 vethbdca3de6      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19時24分34秒 veth854270a4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19時24分34秒 veth0c9b2fa5      0.99      0.99      0.04      0.04      0.00      0.00      0.00      0.00
19時24分34秒 vethba68c3a0   5354.46   5645.54    646.35    639.30      0.00      0.00      0.00      0.05
19時24分34秒 veth0a72e473   6836.63   8283.17   6100.33   7125.55      0.00      0.00      0.00      0.58
19時24分34秒 veth575532b7  14717.82  14393.07   6195.18   4324.97      0.00      0.00      0.00      0.51

19時24分34秒     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
