ts_ns,query_type,latency_ms
1783061069061416325,select,8.850
1783061069073969713,update,9.723
1783061069190610521,select,7.837
1783061069202182680,update,8.904
1783061069315715841,select,7.960
1783061069329143361,update,9.149
1783061069442952299,select,7.105
1783061069454263100,update,8.152
1783061069567336755,select,9.647
1783061069580880181,update,9.448
1783061069695478386,select,7.522
1783061069706382752,update,8.991
1783061069820426034,select,7.391
1783061069831241269,update,8.117
1783061069944310276,select,8.877
1783061069956646356,update,9.042
1783061070071392407,select,7.498
1783061070082746930,update,9.701
1783061070198885612,select,7.793
1783061070210637912,update,8.209
1783061070324572106,select,7.319
1783061070334895245,update,7.585
1783061070447113691,select,8.425
1783061070460138079,update,8.111
1783061070572762936,select,7.133
1783061070583023575,update,8.079
1783061070696358566,select,7.025
1783061070706724028,update,8.071
1783061070821332066,select,7.118
1783061070831856385,update,7.890
1783061070945094986,select,7.705
1783061070955645770,update,7.887
1783061071067737996,select,8.135
1783061071078754486,update,7.949
1783061071191349675,select,6.715
1783061071201075971,update,8.385
1783061071313505825,select,7.600
1783061071324852936,update,8.759
1783061071439728423,select,7.487
1783061071451727275,update,7.923
1783061071564314056,select,8.316
1783061071575903280,update,8.156
1783061071689467310,select,8.263
1783061071702053895,update,10.268
1783061071816872668,select,7.986
1783061071827712405,update,9.536
1783061071941611094,select,7.238
1783061071952423463,update,8.620
1783061072065392628,select,7.352
1783061072075597324,update,8.134
1783061072188199551,select,8.992
1783061072201555116,update,7.683
1783061072313608533,select,7.257
1783061072323791953,update,7.949
1783061072436442129,select,6.654
1783061072446071418,update,8.224
1783061072559218890,select,8.246
1783061072570865579,update,7.895
1783061072685436099,select,6.978
1783061072695295179,update,8.521
1783061072808410034,select,6.909
1783061072818510937,update,7.549
1783061072930902054,select,7.847
1783061072942161371,update,9.382
1783061073056517952,select,7.418
1783061073067170347,update,8.300
1783061073180261143,select,8.168
1783061073191986066,update,9.548
1783061073306439810,select,7.405
1783061073317100041,update,7.894
1783061073429953541,select,7.193
1783061073440327105,update,7.892
1783061073553300356,select,7.635
1783061073564772465,update,8.751
1783061073678077583,select,7.606
1783061073688804532,update,7.998
1783061073801200861,select,6.928
1783061073812267011,update,8.912
1783061073925980841,select,8.305
1783061073938009115,update,8.833
1783061074051382724,select,8.590
1783061074063530600,update,9.038
1783061074178190679,select,7.184
1783061074188502256,update,8.352
1783061074301725576,select,7.758
1783061074312688080,update,8.793
1783061074428179141,select,7.834
1783061074439039290,update,8.170
1783061074552324874,select,7.448
1783061074563939517,update,8.624
1783061074677100885,select,7.029
1783061074687150629,update,8.997
1783061074800816104,select,8.957
1783061074812936399,update,7.830
1783061074925141331,select,7.401
1783061074935755556,update,9.837
1783061075050010763,select,7.084
1783061075060089546,update,7.981
1783061075172742991,select,6.988
1783061075182860024,update,8.283
1783061075295400892,select,7.742
1783061075306848424,update,8.623
1783061075420661471,select,7.473
1783061075431245522,update,8.439
1783061075545503292,select,7.608
1783061075556539805,update,7.978
1783061075669433977,select,9.558
1783061075682480420,update,9.079
1783061075797280724,select,7.613
1783061075808074971,update,7.740
1783061075922053538,select,9.080
1783061075935975070,update,8.461
1783061076050217086,select,9.727
1783061076063184274,update,9.777
1783061076178559212,select,9.025
1783061076190860695,update,9.636
1783061076305781744,select,7.060
1783061076316444657,update,8.203
1783061076429086830,select,7.499
1783061076439818089,update,7.841
1783061076552366027,select,8.245
1783061076564973870,update,8.403
1783061076678228124,select,8.869
1783061076690444629,update,10.130
1783061076805448704,select,8.025
1783061076816438044,update,8.761
1783061076930053108,select,7.670
1783061076941016134,update,8.610
1783061077053889844,select,7.470
1783061077064548872,update,9.039
1783061077178086021,select,9.280
1783061077190978549,update,9.231
1783061077304591794,select,7.181
1783061077315744043,update,9.461
1783061077430619098,select,7.476
1783061077442035556,update,8.929
1783061077555716436,select,9.072
1783061077567748624,update,8.741
1783061077681794625,select,8.952
1783061077693867803,update,7.987
1783061077806245390,select,6.762
1783061077816776224,update,8.765
1783061077930376682,select,10.248
1783061077944265491,update,8.475
1783061078057374796,select,7.739
1783061078069333561,update,9.065
1783061078183870012,select,7.675
1783061078194629429,update,8.647
1783061078309165803,select,7.560
1783061078319974428,update,8.683
1783061078433395355,select,7.427
1783061078445585133,update,8.234
1783061078558800011,select,8.086
1783061078570962890,update,9.125
1783061078684772459,select,7.263
1783061078695034870,update,9.282
1783061078809377163,select,8.365
1783061078820855281,update,8.147
1783061078934079392,select,7.030
1783061078944525740,update,8.003
1783061079057414139,select,7.166
1783061079067596795,update,10.295
1783061079183222677,select,7.208
1783061079194215423,update,8.764
1783061079308605742,select,6.623
1783061079318629867,update,9.308
1783061079432718820,select,8.111
1783061079445043681,update,8.210
1783061079558116115,select,9.561
1783061079570984567,update,8.304
1783061079685260350,select,7.614
1783061079696100948,update,9.457
1783061079810624870,select,8.412
1783061079823115676,update,9.402
1783061079938741389,select,7.820
1783061079950495648,update,8.102
1783061080064429855,select,10.225
1783061080078279874,update,9.599
1783061080192504646,select,7.415
1783061080202935050,update,8.769
1783061080316279297,select,8.752
1783061080328383594,update,8.052
1783061080441418809,select,7.521
1783061080451818902,update,9.061
1783061080565290290,select,7.317
1783061080576049913,update,8.464
1783061080688912586,select,9.659
1783061080702183252,update,11.102
1783061080819481514,select,7.401
1783061080831057984,update,8.428
1783061080945066783,select,7.062
1783061080955250082,update,8.859
1783061081068363393,select,7.120
1783061081078528066,update,7.991
1783061081190652413,select,7.928
1783061081201878016,update,7.381
1783061081313834290,select,7.559
1783061081324969522,update,8.338
1783061081437377367,select,6.764
1783061081447051640,update,8.421
1783061081560273390,select,6.852
1783061081570193787,update,8.926
1783061081684501328,select,9.206
1783061081696892534,update,7.828
1783061081809224441,select,7.306
1783061081819839842,update,7.985
1783061081931975711,select,6.781
1783061081942240847,update,8.790
1783061082056023114,select,7.171
1783061082066561351,update,8.834
1783061082180150977,select,7.801
1783061082192672106,update,8.935
1783061082307086417,select,7.513
1783061082318037024,update,7.758
1783061082430145785,select,6.967
1783061082440602224,update,9.020
1783061082554068930,select,8.601
1783061082565951127,update,8.105
1783061082680648057,select,8.988
1783061082692993871,update,7.819
1783061082806036735,select,7.175
1783061082816100905,update,7.957
1783061082928793130,select,6.561
1783061082938535166,update,7.432
1783061083052083796,select,8.082
1783061083063914194,update,8.008
1783061083176344090,select,7.018
1783061083186499385,update,8.774
1783061083300214931,select,7.356
1783061083310617788,update,8.196
1783061083424042112,select,6.969
1783061083434268844,update,8.139
1783061083548114410,select,8.156
1783061083559222930,update,8.627
1783061083672415479,select,8.170
1783061083683788938,update,9.028
1783061083797655739,select,7.554
1783061083808456202,update,8.122
1783061083921792919,select,7.232
1783061083932359547,update,9.160
1783061084046460733,select,7.810
1783061084059008040,update,9.492
