subnet	ip	hostname	description	status
172.21.33.0	172.21.33.225	-	-	unused
172.21.33.0	172.21.33.226	-	-	unused
172.21.33.0	172.21.33.227	-	-	unused
172.21.33.0	172.21.33.228	-	-	unused
172.21.33.0	172.21.33.229	-	-	unused
172.21.33.0	172.21.33.230	-	-	unused
172.21.33.0	172.21.33.231	-	-	unused
172.21.33.0	172.21.33.232	-	-	unused
172.21.33.0	172.21.33.233	-	-	unused
172.21.33.0	172.21.33.234	-	-	unused
172.21.33.0	172.21.33.235	-	-	unused
172.21.33.0	172.21.33.236	-	-	unused
172.21.33.0	172.21.33.237	-	-	unused
172.21.33.0	172.21.33.238	-	-	unused
172.21.33.0	172.21.33.239	-	-	unused
172.21.33.0	172.21.33.240	-	-	unused
172.21.33.0	172.21.33.241	-	-	unused
172.21.33.0	172.21.33.242	-	-	unused
172.21.33.0	172.21.33.243	-	-	unused
172.21.33.0	172.21.33.244	-	-	unused
172.21.33.0	172.21.33.245	-	-	unused
172.21.33.0	172.21.33.246	-	-	unused
172.21.33.0	172.21.33.247	-	-	unused
172.21.33.0	172.21.33.248	-	-	unused
172.21.33.0	172.21.33.249	-	-	unused
172.21.33.0	172.21.33.250	-	-	unused
172.21.33.0	172.21.33.251	-	-	unused
172.21.33.0	172.21.33.252	-	-	unused
172.21.33.0	172.21.33.253	-	-	unused
172.21.33.0	172.21.33.254	-	-	unused
172.21.34.0	172.21.34.1	s-mdb0d-cfg-1	via API Created [ 2025-05-27 18:25:23 ]	registered
172.21.34.0	172.21.34.2	s-mdb0d-1-1	via API Created [ 2025-05-26 17:26:38 ]	registered
172.21.34.0	172.21.34.3	s-mdb0d-2-1	via API Created [ 2025-05-26 17:26:39 ]	registered
172.21.34.0	172.21.34.4	s-mdb0d-3-1	via API Created [ 2025-05-26 17:26:40 ]	registered
172.21.34.0	172.21.34.5	s-mdb0d-4-1	via API Created [ 2025-05-26 17:26:42 ]	registered
172.21.34.0	172.21.34.6	s-mdb0g-cfg-1	via API Created [ 2025-05-26 17:26:43 ]	registered
172.21.34.0	172.21.34.7	s-mdb0g-1-1	via API Created [ 2025-05-26 17:26:44 ]	registered
172.21.34.0	172.21.34.8	s-mdb0g-2-1	via API Created [ 2025-05-26 17:26:45 ]	registered
172.21.34.0	172.21.34.9	s-mdb0g-3-1	via API Created [ 2025-05-26 17:26:47 ]	registered
172.21.34.0	172.21.34.10	s-mdb0g-4-1	via API Created [ 2025-05-26 17:26:48 ]	registered
172.21.34.0	172.21.34.11	s-mdb0h-cfg-1	via API Created [ 2025-05-26 17:26:49 ]	registered
172.21.34.0	172.21.34.12	s-mdb0h-1-1	via API Created [ 2025-05-26 17:26:50 ]	registered
172.21.34.0	172.21.34.13	s-mdb0h-2-1	via API Created [ 2025-05-26 17:26:51 ]	registered
172.21.34.0	172.21.34.14	s-mdb0h-3-1	via API Created [ 2025-05-26 17:26:53 ]	registered
172.21.34.0	172.21.34.15	s-mdb0h-4-1	via API Created [ 2025-05-26 17:26:54 ]	registered
172.21.34.0	172.21.34.39	-	-- autodiscovered --	registered
172.21.34.0	172.21.34.40	-	-- autodiscovered --	registered
172.21.34.0	172.21.34.41	-	-- autodiscovered --	registered
172.21.34.0	172.21.34.42	-	-- autodiscovered --	registered
172.21.34.0	172.21.34.43	-	-- autodiscovered --	registered
172.21.34.0	172.21.34.44	-	-- autodiscovered --	registered
172.21.34.0	172.21.34.80	s-mdb0d-s-1	via API Created [ 2025-05-26 17:26:55 ]	registered
172.21.34.0	172.21.34.83	s-mdb0g-s-1	via API Created [ 2025-05-26 17:26:56 ]	registered
172.21.34.0	172.21.34.86	s-mdb0h-s-1	via API Created [ 2025-05-26 17:26:58 ]	registered
172.21.34.0	172.21.34.99	-	-- autodiscovered --	registered
172.21.34.0	172.21.34.16	-	-	unused
172.21.34.0	172.21.34.17	-	-	unused
172.21.34.0	172.21.34.18	-	-	unused
172.21.34.0	172.21.34.19	-	-	unused
172.21.34.0	172.21.34.20	-	-	unused
172.21.34.0	172.21.34.21	-	-	unused
172.21.34.0	172.21.34.22	-	-	unused
172.21.34.0	172.21.34.23	-	-	unused
172.21.34.0	172.21.34.24	-	-	unused
172.21.34.0	172.21.34.25	-	-	unused
172.21.34.0	172.21.34.26	-	-	unused
172.21.34.0	172.21.34.27	-	-	unused
172.21.34.0	172.21.34.28	-	-	unused
172.21.34.0	172.21.34.29	-	-	unused
172.21.34.0	172.21.34.30	-	-	unused
172.21.34.0	172.21.34.31	-	-	unused
172.21.34.0	172.21.34.32	-	-	unused
172.21.34.0	172.21.34.33	-	-	unused
172.21.34.0	172.21.34.34	-	-	unused
172.21.34.0	172.21.34.35	-	-	unused
172.21.34.0	172.21.34.36	-	-	unused
172.21.34.0	172.21.34.37	-	-	unused
172.21.34.0	172.21.34.38	-	-	unused
172.21.34.0	172.21.34.45	-	-	unused
172.21.34.0	172.21.34.46	-	-	unused
172.21.34.0	172.21.34.47	-	-	unused
172.21.34.0	172.21.34.48	-	-	unused
172.21.34.0	172.21.34.49	-	-	unused
172.21.34.0	172.21.34.50	-	-	unused
172.21.34.0	172.21.34.51	-	-	unused
172.21.34.0	172.21.34.52	-	-	unused
172.21.34.0	172.21.34.53	-	-	unused
172.21.34.0	172.21.34.54	-	-	unused
172.21.34.0	172.21.34.55	-	-	unused
172.21.34.0	172.21.34.56	-	-	unused
172.21.34.0	172.21.34.57	-	-	unused
172.21.34.0	172.21.34.58	-	-	unused
172.21.34.0	172.21.34.59	-	-	unused
172.21.34.0	172.21.34.60	-	-	unused
172.21.34.0	172.21.34.61	-	-	unused
172.21.34.0	172.21.34.62	-	-	unused
